Campo;Contenido;Incidente;Fecha
Texto breve;Negociar Marranera T27;1755280;2007-07-28 08:22:19
Prioridad;4;1755280;2007-07-28 08:21:53
Estatus;Mensaje abierto;1755280;2007-07-28 08:21:53
Estatus;Mensaje en tratamiento;1755280;2007-07-28 08:21:53
Inicio de la avería (hora);08:56:11;1755280;2007-07-27 10:52:12
Inicio de la avería (fecha);27/07/2011;1755280;2007-07-27 10:52:12
Hora de fin deseada;17:00:00;1755280;2007-07-27 10:52:12
Estatus;Aviso Inicial;1755280;2007-07-27 08:47:17
Estatus;Requiere Gestión  Ambiental;1755280;2007-07-27 08:47:17
Estatus;Mensaje abierto;1755280;2007-07-27 08:47:17
Clase de catálogo: Causas;;1749863;2018-02-08 08:45:17
Parte del objeto;3010;1749863;2018-02-08 08:45:09
Número de versión;000001;1749863;2018-02-08 08:45:09
Grupo de códigos: problemas;LITRA-VA;1749863;2018-02-08 08:45:09
Grupo de códigos: partes del objeto;LITRA-VA;1749863;2018-02-08 08:45:09
Grupo de códigos: causas;3LITR-EN;1749863;2018-02-08 08:45:09
Código del problema o de la avería;5050;1749863;2018-02-08 08:45:09
Código de causas;3115;1749863;2018-02-08 08:45:09
Clase de catálogo: Causas;F;1749863;2018-02-08 08:45:09
"Clase catálogo; problemas/errores";5;1749863;2018-02-08 08:45:09
Texto breve;RETIRAR GALPON TERM SLC VBL SNG 03;1749863;2017-10-20 15:57:38
Perfil de catálogo;3-LINTRA;1749863;2017-04-28 12:43:28
Origen del esquema de informe para avisos;3;1749863;2017-04-28 12:43:28
Fecha de fin deseada;31/12/2023;1749863;2016-12-30 15:58:45
Texto de acción;Aún existe galpon.;1749863;2016-07-24 16:45:58
Fecha de fin deseada;31/12/2021;1749863;2016-01-10 14:10:32
Texto breve;RETIRAR GALPON TERM SLC VBL SNG;1749863;2015-09-03 11:15:02
Prioridad;7;1749863;2015-09-03 11:15:02
Fecha de fin deseada;31/12/2020;1749863;2015-09-03 11:15:02
Texto breve;;1749863;2014-07-13 08:28:20
Fecha de fin deseada;31/12/2024;1749863;2014-02-22 14:28:18
Fecha de fin deseada;31/12/2018;1749863;2013-04-11 19:52:30
Texto breve;REUBICAR GALPON TERM SLC SN M8.115266;1749863;2012-08-17 15:24:03
Interlocutor;00010031;1749863;2012-08-17 15:24:03
Grupo planificador p.servicio cliente y mantenimiento;080;1749863;2012-08-17 15:24:03
Interlocutor;99991901;1749863;2011-04-21 10:30:12
Fecha de inicio deseada;03/06/2017;1749863;2011-01-30 19:07:46
Fecha de fin deseada;01/10/2017;1749863;2011-01-30 19:07:46
Grupo de códigos: Codificación;ORIGEN;1749863;2011-01-06 14:55:32
Codificación;0060;1749863;2011-01-06 14:55:32
Fecha de fin deseada;30/11/2015;1749863;2010-12-29 09:56:15
Número de orden;000035700069;1749863;2010-01-02 09:53:01
Estatus;Orden asignada;1749863;2010-01-02 09:53:01
Número de orden;;1749863;2010-01-02 07:48:08
Estatus;Orden asignada;1749863;2010-01-02 07:48:08
ID objeto del puesto de trabajo;10000847;1749863;2009-12-17 15:01:47
Centro para puesto trabajo;ITCO;1749863;2009-12-17 15:01:47
Centro de planificación del mantenimiento;ITCO;1749863;2009-12-17 15:01:47
Interlocutor;00003992;1749863;2007-10-18 15:03:18
ID objeto del puesto de trabajo;10000221;1749863;2007-10-18 15:03:18
Número de orden;000030072912;1749863;2007-10-13 11:29:55
Estatus;Mensaje abierto;1749863;2007-10-13 11:29:55
Estatus;Mensaje en tratamiento;1749863;2007-10-13 11:29:55
Estatus;Orden asignada;1749863;2007-10-13 11:29:55
Prioridad;5;1749863;2007-09-16 08:50:19
Hora de inicio deseada;08:50:19;1749863;2007-09-16 08:50:19
Hora de fin deseada;08:50:19;1749863;2007-09-16 08:50:19
Fecha de inicio deseada;16/09/2011;1749863;2007-09-16 08:50:19
Fecha de fin deseada;31/08/2014;1749863;2007-09-16 08:50:19
Inicio de la avería (hora);14:28:06;1749863;2007-09-15 14:28:06
Inicio de la avería (fecha);15/09/2011;1749863;2007-09-15 14:28:06
Estatus;Requiere Gestión  Ambiental;1749863;2007-09-15 14:28:06
Estatus;Aviso Inicial;1749863;2007-09-13 22:01:31
Estatus;Mensaje abierto;1749863;2007-09-13 22:01:31
Número de orden;;1749862;2018-02-08 08:45:53
Parte del objeto;3010;1749862;2018-02-08 08:45:46
Número de versión;000001;1749862;2018-02-08 08:45:46
Grupo de códigos: problemas;LITRA-VA;1749862;2018-02-08 08:45:46
Grupo de códigos: partes del objeto;LITRA-VA;1749862;2018-02-08 08:45:46
Grupo de códigos: causas;3LITR-EN;1749862;2018-02-08 08:45:46
Código del problema o de la avería;5050;1749862;2018-02-08 08:45:46
Código de causas;3115;1749862;2018-02-08 08:45:46
Clase de catálogo: Causas;F;1749862;2018-02-08 08:45:46
"Clase catálogo; problemas/errores";5;1749862;2018-02-08 08:45:46
Perfil de catálogo;3-LINTRA;1749862;2017-04-28 12:46:56
Origen del esquema de informe para avisos;3;1749862;2017-04-28 12:46:56
Fecha de fin deseada;31/12/2023;1749862;2016-12-30 15:58:36
Texto breve;RETIRAR BALNEARIO TERM SLC IVBL SNG ST;1749862;2016-07-24 15:05:09
Fecha de fin deseada;31/12/2021;1749862;2016-01-10 14:12:00
Texto breve;RETIRAR BLANEARIO TERM SLC IVBL SNG ST;1749862;2015-09-03 11:14:21
Prioridad;7;1749862;2015-09-03 11:14:21
Fecha de fin deseada;31/12/2020;1749862;2015-09-03 11:14:21
Estatus;Requiere Análisis;1749862;2015-09-03 11:14:21
Texto de acción;Se realizó mantenimiento Serv.Parcial;1749862;2015-07-26 17:11:28
Fecha de fin deseada;31/12/2024;1749862;2014-02-22 14:28:30
Fecha de fin deseada;01/10/2018;1749862;2013-11-09 04:07:31
Interlocutor;00010031;1749862;2013-05-23 08:45:27
Texto breve;REUBICAR BALNEAREO TERM SN INV M8.115308;1749862;2012-08-17 15:33:47
Interlocutor;99991901;1749862;2011-04-21 10:30:15
Fecha de inicio deseada;03/06/2017;1749862;2011-01-30 19:07:28
Fecha de fin deseada;01/10/2017;1749862;2011-01-30 19:07:28
Grupo de códigos: Codificación;ORIGEN;1749862;2011-01-06 14:55:38
Codificación;0060;1749862;2011-01-06 14:55:38
Fecha de fin deseada;30/11/2015;1749862;2010-12-29 09:56:24
Número de orden;000035700069;1749862;2010-01-02 09:53:01
Estatus;Orden asignada;1749862;2010-01-02 09:53:01
Número de orden;;1749862;2010-01-02 07:48:08
Estatus;Orden asignada;1749862;2010-01-02 07:48:08
ID objeto del puesto de trabajo;10000847;1749862;2009-12-17 15:01:37
Centro para puesto trabajo;ITCO;1749862;2009-12-17 15:01:37
Centro de planificación del mantenimiento;ITCO;1749862;2009-12-17 15:01:37
Interlocutor;00003992;1749862;2007-10-18 15:03:23
ID objeto del puesto de trabajo;10000221;1749862;2007-10-18 15:03:23
Número de orden;000030072912;1749862;2007-10-13 11:29:55
Estatus;Mensaje abierto;1749862;2007-10-13 11:29:55
Estatus;Mensaje en tratamiento;1749862;2007-10-13 11:29:55
Estatus;Orden asignada;1749862;2007-10-13 11:29:55
Prioridad;5;1749862;2007-09-16 08:50:20
Hora de inicio deseada;08:50:20;1749862;2007-09-16 08:50:20
Hora de fin deseada;08:50:20;1749862;2007-09-16 08:50:20
Fecha de inicio deseada;16/09/2011;1749862;2007-09-16 08:50:20
Fecha de fin deseada;31/08/2014;1749862;2007-09-16 08:50:20
Inicio de la avería (hora);14:26:42;1749862;2007-09-15 14:26:42
Inicio de la avería (fecha);15/09/2011;1749862;2007-09-15 14:26:42
Estatus;Requiere Gestión  Ambiental;1749862;2007-09-15 14:26:42
Estatus;Aviso Inicial;1749862;2007-09-13 22:01:32
Estatus;Mensaje abierto;1749862;2007-09-13 22:01:32
Fecha de fin deseada;31/12/2023;1749844;2018-12-27 14:11:21
Clase de catálogo: Causas;;1749844;2018-02-05 10:08:08
Parte del objeto;3010;1749844;2018-02-05 10:07:52
Grupo de códigos: partes del objeto;LITRA-VA;1749844;2018-02-05 10:07:52
Grupo de códigos: causas;3LITR-EN;1749844;2018-02-05 10:07:52
Código de causas;3115;1749844;2018-02-05 10:07:52
Clase de catálogo: Causas;F;1749844;2018-02-05 10:07:52
Grupo de códigos: causas;LITRA-VA;1749844;2017-11-17 10:20:06
Código de causas;5050;1749844;2017-11-17 10:20:06
Número de versión;000001;1749844;2017-11-08 10:31:06
Grupo de códigos: problemas;LITRA-VA;1749844;2017-11-08 10:31:06
Código del problema o de la avería;5050;1749844;2017-11-08 10:31:06
"Clase catálogo; problemas/errores";5;1749844;2017-11-08 10:31:06
Perfil de catálogo;3-LINTRA;1749844;2017-04-28 12:49:55
Origen del esquema de informe para avisos;3;1749844;2017-04-28 12:49:55
Fecha de fin deseada;31/12/2022;1749844;2016-12-28 16:28:21
Texto breve;RETIRAR ESTACIÓ BOMBEO TERM CLC IVBL SNG;1749844;2015-09-04 17:39:55
Prioridad;7;1749844;2015-09-04 17:39:55
Fecha de fin deseada;31/12/2021;1749844;2015-09-04 17:39:55
Estatus;Requiere Análisis;1749844;2015-09-04 17:39:55
Fecha de fin deseada;31/12/2024;1749844;2014-02-22 14:29:08
Fecha de fin deseada;11/08/2018;1749844;2013-11-09 04:08:20
Perfil de catálogo;L-LINTRA;1749844;2013-08-23 15:42:16
Origen de datos para campo 'Indicador ABC';D;1749844;2013-08-23 15:42:16
Número de equipo;000000000000104454;1749844;2013-08-23 15:42:16
Indicador ABC para objeto técnico;C;1749844;2013-08-23 15:42:16
Hora de fin deseada;17:00:00;1749844;2013-08-23 15:38:46
Fecha de fin deseada;11/08/2017;1749844;2013-08-23 15:38:46
Texto breve;RETIRAR GASOLINERA TERM SNG IVB M8.95644;1749844;2012-08-17 16:43:52
Interlocutor;00010031;1749844;2012-08-17 16:43:52
Número de clasificación para actividad;;1749844;2011-07-29 10:55:23
Interlocutor;99991901;1749844;2011-04-21 10:29:44
Fecha de inicio deseada;03/06/2017;1749844;2011-01-30 19:07:04
Fecha de fin deseada;01/10/2017;1749844;2011-01-30 19:07:04
Grupo de códigos: Codificación;ORIGEN;1749844;2011-01-06 14:56:37
Codificación;0060;1749844;2011-01-06 14:56:37
Fecha de fin deseada;30/11/2015;1749844;2010-12-29 09:57:36
Número de orden;000035700068;1749844;2010-01-02 09:51:56
Estatus;Orden asignada;1749844;2010-01-02 09:51:56
Número de orden;;1749844;2010-01-02 07:48:04
Estatus;Orden asignada;1749844;2010-01-02 07:48:04
ID objeto del puesto de trabajo;10000847;1749844;2009-12-17 15:01:48
Centro para puesto trabajo;ITCO;1749844;2009-12-17 15:01:48
Centro de planificación del mantenimiento;ITCO;1749844;2009-12-17 15:01:48
Interlocutor;00003992;1749844;2007-10-18 15:02:52
ID objeto del puesto de trabajo;10000221;1749844;2007-10-18 15:02:52
Número de orden;000030072911;1749844;2007-10-13 11:08:56
Estatus;Mensaje abierto;1749844;2007-10-13 11:08:56
Estatus;Mensaje en tratamiento;1749844;2007-10-13 11:08:56
Estatus;Orden asignada;1749844;2007-10-13 11:08:56
Prioridad;5;1749844;2007-09-16 08:50:43
Hora de inicio deseada;08:50:43;1749844;2007-09-16 08:50:43
Hora de fin deseada;08:50:43;1749844;2007-09-16 08:50:43
Fecha de inicio deseada;16/09/2011;1749844;2007-09-16 08:50:43
Fecha de fin deseada;31/08/2014;1749844;2007-09-16 08:50:43
Inicio de la avería (hora);14:28:16;1749844;2007-09-15 14:28:16
Inicio de la avería (fecha);15/09/2011;1749844;2007-09-15 14:28:16
Estatus;Requiere Gestión  Ambiental;1749844;2007-09-15 14:28:16
Estatus;Aviso Inicial;1749844;2007-09-13 22:02:04
Estatus;Mensaje abierto;1749844;2007-09-13 22:02:04
Texto breve;Negociar establo Anibal M8.185264 T48;1749606;2018-06-06 12:09:25
Fecha de fin deseada;//;1749606;2018-02-08 09:18:02
Parte del objeto;3010;1749606;2018-02-08 09:17:54
Número de versión;000001;1749606;2018-02-08 09:17:54
Grupo de códigos: problemas;LITRA-VA;1749606;2018-02-08 09:17:54
Grupo de códigos: partes del objeto;LITRA-VA;1749606;2018-02-08 09:17:54
Grupo de códigos: causas;3LITR-EN;1749606;2018-02-08 09:17:54
Código del problema o de la avería;5050;1749606;2018-02-08 09:17:54
Código de causas;3115;1749606;2018-02-08 09:17:54
Clase de catálogo: Causas;F;1749606;2018-02-08 09:17:54
"Clase catálogo; problemas/errores";5;1749606;2018-02-08 09:17:54
Perfil de catálogo;3-LINTRA;1749606;2017-04-28 13:30:17
Origen del esquema de informe para avisos;3;1749606;2017-04-28 13:30:17
Fecha de fin deseada;31/12/2024;1749606;2014-02-22 14:36:02
Fecha de fin deseada;01/07/2018;1749606;2013-11-09 04:15:25
Interlocutor;99991901;1749606;2011-04-21 10:23:38
Fecha de inicio deseada;03/03/2017;1749606;2011-01-30 19:05:00
Fecha de fin deseada;01/07/2017;1749606;2011-01-30 19:05:00
Grupo de códigos: Codificación;ORIGEN;1749606;2011-01-06 15:02:05
Codificación;0060;1749606;2011-01-06 15:02:05
Fecha de fin deseada;30/11/2015;1749606;2010-12-29 10:12:46
Número de orden;000035700056;1749606;2010-01-02 09:34:03
Estatus;Orden asignada;1749606;2010-01-02 09:34:03
Número de orden;;1749606;2010-01-02 07:47:43
Estatus;Orden asignada;1749606;2010-01-02 07:47:43
ID objeto del puesto de trabajo;10000847;1749606;2009-12-17 15:01:45
Centro para puesto trabajo;ITCO;1749606;2009-12-17 15:01:45
Centro de planificación del mantenimiento;ITCO;1749606;2009-12-17 15:01:45
Interlocutor;00003992;1749606;2007-10-18 14:52:08
ID objeto del puesto de trabajo;10000221;1749606;2007-10-18 14:52:08
Número de orden;000030072893;1749606;2007-10-12 13:04:15
Estatus;Mensaje abierto;1749606;2007-10-12 13:04:15
Estatus;Mensaje en tratamiento;1749606;2007-10-12 13:04:15
Estatus;Orden asignada;1749606;2007-10-12 13:04:15
Prioridad;5;1749606;2007-09-16 11:13:51
Hora de inicio deseada;11:13:50;1749606;2007-09-16 11:13:51
Hora de fin deseada;11:13:50;1749606;2007-09-16 11:13:51
Fecha de inicio deseada;16/09/2011;1749606;2007-09-16 11:13:51
Fecha de fin deseada;31/08/2014;1749606;2007-09-16 11:13:51
Inicio de la avería (hora);14:27:48;1749606;2007-09-15 14:27:48
Inicio de la avería (fecha);15/09/2011;1749606;2007-09-15 14:27:48
Estatus;Requiere Gestión  Ambiental;1749606;2007-09-15 14:27:48
Estatus;Mensaje abierto;1749606;2007-09-13 22:07:05
Estatus;Aviso Inicial;1749606;2007-09-13 22:07:05
Texto breve;RETIRAR GALPON82 TERM SLC IVBL SNG;1749605;2018-05-20 11:41:52
Número de versión;;1749605;2018-02-08 08:48:42
Parte del objeto;3010;1749605;2018-02-08 08:48:33
Número de versión;000001;1749605;2018-02-08 08:48:33
Grupo de códigos: problemas;LITRA-VA;1749605;2018-02-08 08:48:33
Grupo de códigos: partes del objeto;LITRA-VA;1749605;2018-02-08 08:48:33
Grupo de códigos: causas;3LITR-EN;1749605;2018-02-08 08:48:33
Código del problema o de la avería;5050;1749605;2018-02-08 08:48:33
Código de causas;3115;1749605;2018-02-08 08:48:33
Clase de catálogo: Causas;F;1749605;2018-02-08 08:48:33
"Clase catálogo; problemas/errores";5;1749605;2018-02-08 08:48:33
Perfil de catálogo;3-LINTRA;1749605;2017-04-28 13:30:29
Origen del esquema de informe para avisos;3;1749605;2017-04-28 13:30:29
Fecha de fin deseada;31/12/2023;1749605;2015-09-04 15:25:14
Texto breve;RETIRAR GALPON80 TERM SLC IVBL SNG;1749605;2015-09-01 19:48:57
Prioridad;7;1749605;2015-09-01 19:48:57
Número de orden;000035701666;1749605;2015-09-01 19:48:57
Interlocutor;00010031;1749605;2015-09-01 19:48:57
Fecha de fin deseada;31/12/2021;1749605;2015-09-01 19:48:57
Estatus;Orden asignada;1749605;2015-09-01 19:48:57
Fecha de fin deseada;31/12/2024;1749605;2014-02-22 14:36:15
Número de orden;;1749605;2013-12-17 10:30:36
Estatus;Orden asignada;1749605;2013-12-17 10:30:36
Fecha de fin deseada;31/12/2018;1749605;2013-04-11 19:52:36
Interlocutor;99991901;1749605;2011-04-21 10:23:29
Fecha de inicio deseada;04/05/2017;1749605;2011-01-30 19:06:37
Fecha de fin deseada;01/09/2017;1749605;2011-01-30 19:06:37
Grupo de códigos: Codificación;ORIGEN;1749605;2011-01-06 15:02:10
Codificación;0060;1749605;2011-01-06 15:02:10
Fecha de fin deseada;30/11/2015;1749605;2010-12-29 10:12:56
Número de orden;000035700054;1749605;2010-01-02 09:32:20
Estatus;Orden asignada;1749605;2010-01-02 09:32:20
Número de orden;;1749605;2010-01-02 07:47:40
Estatus;Orden asignada;1749605;2010-01-02 07:47:40
ID objeto del puesto de trabajo;10000847;1749605;2009-12-17 15:01:36
Centro para puesto trabajo;ITCO;1749605;2009-12-17 15:01:36
Centro de planificación del mantenimiento;ITCO;1749605;2009-12-17 15:01:36
Texto breve;Negociar 3galpon Iván M8.177870-T82;1749605;2008-05-11 09:41:01
Interlocutor;00003992;1749605;2007-10-18 14:51:41
ID objeto del puesto de trabajo;10000221;1749605;2007-10-18 14:51:41
Número de orden;000030072891;1749605;2007-10-12 10:43:24
Estatus;Mensaje abierto;1749605;2007-10-12 10:43:24
Estatus;Mensaje en tratamiento;1749605;2007-10-12 10:43:24
Estatus;Orden asignada;1749605;2007-10-12 10:43:24
Prioridad;5;1749605;2007-09-16 11:13:56
Hora de inicio deseada;11:13:55;1749605;2007-09-16 11:13:56
Hora de fin deseada;11:13:55;1749605;2007-09-16 11:13:56
Fecha de inicio deseada;16/09/2011;1749605;2007-09-16 11:13:56
Fecha de fin deseada;31/08/2014;1749605;2007-09-16 11:13:56
Inicio de la avería (hora);14:26:39;1749605;2007-09-15 14:26:39
Inicio de la avería (fecha);15/09/2011;1749605;2007-09-15 14:26:39
Estatus;Requiere Gestión  Ambiental;1749605;2007-09-15 14:26:39
Estatus;Aviso Inicial;1749605;2007-09-13 22:07:06
Estatus;Mensaje abierto;1749605;2007-09-13 22:07:06
Parte del objeto;9940;1749602;2017-08-31 09:31:32
Número de versión;000001;1749602;2017-08-31 08:32:57
Grupo de códigos: problemas;LITRA-VA;1749602;2017-08-31 08:32:57
Código del problema o de la avería;5050;1749602;2017-08-31 08:32:57
"Clase catálogo; problemas/errores";5;1749602;2017-08-31 08:32:57
Perfil de catálogo;3-LINTRA;1749602;2017-04-28 13:30:40
Origen del esquema de informe para avisos;3;1749602;2017-04-28 13:30:40
Origen del esquema de informe para avisos;1;1749602;2014-05-18 13:32:52
Origen de datos para campo 'número de orden permanente';R;1749602;2014-05-18 13:32:52
Origen de datos para campo 'Indicador ABC';D;1749602;2014-05-18 13:32:52
Origen de datos para campo 'centro emplazamiento';R;1749602;2014-05-18 13:32:52
Origen de datos para campo 'campo de clasificación';R;1749602;2014-05-18 13:32:52
Origen de datos p. campos 'sociedad';R;1749602;2014-05-18 13:32:52
Origen de datos p. campos 'Nºprincip.inmov.' y 'subnúmero';R;1749602;2014-05-18 13:32:52
Origen de datos p. campo 'Sociedad CO';R;1749602;2014-05-18 13:32:52
Origen de datos p. campo 'sector';R;1749602;2014-05-18 13:32:52
Origen de datos p. campo 'pto.-trabajo PPS';D;1749602;2014-05-18 13:32:52
Origen de datos p. campo 'organización de ventas';R;1749602;2014-05-18 13:32:52
Origen de datos p. campo 'orden de liquidación';R;1749602;2014-05-18 13:32:52
Origen de datos p. campo 'número de sala';R;1749602;2014-05-18 13:32:52
Origen de datos p. campo 'elemento PEP';R;1749602;2014-05-18 13:32:52
Origen de datos p. campo 'centro de coste';D;1749602;2014-05-18 13:32:52
Origen de datos p. campo 'canal de distribución';R;1749602;2014-05-18 13:32:52
Origen de datos p. campo 'área de empresa';D;1749602;2014-05-18 13:32:52
Origen de datos p. campo 'área de empresa';D;1749602;2014-05-18 13:32:52
Número de equipo;000000000000105534;1749602;2014-05-18 13:32:52
Emplazamiento del objeto de mantenimiento;76823;1749602;2014-05-18 13:32:52
Centro de coste;ESMEYUMB22;1749602;2014-05-18 13:32:52
Perfil de catálogo;L-LINTRA;1749602;2014-05-18 13:32:07
Origen del esquema de informe para avisos;2;1749602;2014-05-18 13:32:07
Origen de datos para campo 'número de orden permanente';H;1749602;2014-05-18 13:32:07
Origen de datos para campo 'Indicador ABC';H;1749602;2014-05-18 13:32:07
Origen de datos para campo 'centro emplazamiento';H;1749602;2014-05-18 13:32:07
Origen de datos para campo 'campo de clasificación';;1749602;2014-05-18 13:32:07
Origen de datos p. campos 'sociedad';H;1749602;2014-05-18 13:32:07
Origen de datos p. campos 'Nºprincip.inmov.' y 'subnúmero';H;1749602;2014-05-18 13:32:07
Origen de datos p. campo 'Sociedad CO';H;1749602;2014-05-18 13:32:07
Origen de datos p. campo 'sector';H;1749602;2014-05-18 13:32:07
Origen de datos p. campo 'pto.-trabajo PPS';H;1749602;2014-05-18 13:32:07
Origen de datos p. campo 'organización de ventas';H;1749602;2014-05-18 13:32:07
Origen de datos p. campo 'orden de liquidación';H;1749602;2014-05-18 13:32:07
Origen de datos p. campo 'número de sala';H;1749602;2014-05-18 13:32:07
Origen de datos p. campo 'elemento PEP';H;1749602;2014-05-18 13:32:07
Origen de datos p. campo 'centro de coste';H;1749602;2014-05-18 13:32:07
Origen de datos p. campo 'canal de distribución';H;1749602;2014-05-18 13:32:07
Origen de datos p. campo 'área de empresa';H;1749602;2014-05-18 13:32:07
Origen de datos p. campo 'área de empresa';H;1749602;2014-05-18 13:32:07
Número de equipo;;1749602;2014-05-18 13:32:07
Indicador ABC para objeto técnico;A;1749602;2014-05-18 13:32:07
Emplazamiento del objeto de mantenimiento;76622;1749602;2014-05-18 13:32:07
Centro de coste;IESMYUMB22;1749602;2014-05-18 13:32:07
Fecha de fin deseada;31/12/2024;1749602;2014-02-22 14:37:14
Texto breve;RETIRAR ACUEDUCTO TERM CLC SNG IVB;1749602;2013-04-05 15:54:47
Fecha de fin deseada;31/12/2018;1749602;2013-04-05 15:54:47
Interlocutor;00010031;1749602;2013-04-05 15:48:54
Interlocutor;99991901;1749602;2011-04-21 10:23:50
Fecha de inicio deseada;04/05/2017;1749602;2011-01-30 19:06:51
Fecha de fin deseada;01/09/2017;1749602;2011-01-30 19:06:51
Grupo de códigos: Codificación;ORIGEN;1749602;2011-01-06 15:02:28
Codificación;0060;1749602;2011-01-06 15:02:28
Fecha de fin deseada;30/11/2015;1749602;2010-12-29 10:13:36
Número de orden;000035700057;1749602;2010-01-02 09:34:52
Estatus;Orden asignada;1749602;2010-01-02 09:34:52
Número de orden;;1749602;2010-01-02 07:47:46
Estatus;Orden asignada;1749602;2010-01-02 07:47:46
ID objeto del puesto de trabajo;10000847;1749602;2009-12-17 15:01:36
Centro para puesto trabajo;ITCO;1749602;2009-12-17 15:01:36
Centro de planificación del mantenimiento;ITCO;1749602;2009-12-17 15:01:36
Interlocutor;00003992;1749602;2007-10-18 14:52:21
ID objeto del puesto de trabajo;10000221;1749602;2007-10-18 14:52:21
Número de orden;000030072894;1749602;2007-10-12 13:51:39
Estatus;Mensaje abierto;1749602;2007-10-12 13:51:39
Estatus;Mensaje en tratamiento;1749602;2007-10-12 13:51:39
Estatus;Orden asignada;1749602;2007-10-12 13:51:39
Prioridad;5;1749602;2007-09-16 11:14:01
Hora de inicio deseada;11:14:00;1749602;2007-09-16 11:14:01
Hora de fin deseada;11:14:00;1749602;2007-09-16 11:14:01
Fecha de inicio deseada;16/09/2011;1749602;2007-09-16 11:14:01
Fecha de fin deseada;31/08/2014;1749602;2007-09-16 11:14:01
Inicio de la avería (hora);14:26:42;1749602;2007-09-15 14:26:42
Inicio de la avería (fecha);15/09/2011;1749602;2007-09-15 14:26:42
Estatus;Requiere Gestión  Ambiental;1749602;2007-09-15 14:26:42
Estatus;Aviso Inicial;1749602;2007-09-13 22:07:08
Estatus;Mensaje abierto;1749602;2007-09-13 22:07:08
Fecha de fin deseada;31/12/2023;1749591;2018-12-27 14:16:05
Clase de catálogo: Causas;;1749591;2018-02-05 10:40:15
Parte del objeto;3010;1749591;2018-02-05 10:40:06
Número de versión;000001;1749591;2018-02-05 10:40:06
Grupo de códigos: problemas;LITRA-VA;1749591;2018-02-05 10:40:06
Grupo de códigos: partes del objeto;LITRA-VA;1749591;2018-02-05 10:40:06
Grupo de códigos: causas;3LITR-EN;1749591;2018-02-05 10:40:06
Código del problema o de la avería;5050;1749591;2018-02-05 10:40:06
Código de causas;3115;1749591;2018-02-05 10:40:06
Clase de catálogo: Causas;F;1749591;2018-02-05 10:40:06
"Clase catálogo; problemas/errores";5;1749591;2018-02-05 10:40:06
Texto breve;RETIRAR VIVIEN3 TERM SLC VBL Luis NG 47;1749591;2017-12-22 10:15:22
Perfil de catálogo;3-LINTRA;1749591;2017-04-28 13:30:52
